profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
cautious,potential,90,1,48,42,20,6,0,0.229,returning,449.28,48.0
balanced,potential,90,1,76,14,12,11,0.52,0.211,returning,1489.6,152.0
chaotic,potential,90,1,44,46,25,7,4.0,0.205,sustainable,1367.52,132.0
high_skip,potential,90,1,20,70,12,3,0,0.25,returning,188.8,20.0
returning,potential,90,1,54,36,24,6,0.29,0.231,returning,1041.12,108.0
overload,potential,90,1,80,10,8,20,69.36,0.193,sustainable,3161.0,290.0
optimizer,potential,90,1,85,5,4,12,5.63,0.196,sustainable,2590.8,255.0
low_energy,potential,90,1,48,42,19,16,0,0.25,returning,439.68,48.0
adversarial,potential,90,1,55,35,24,14,75.28,0.187,returning,2797.2,252.0
perfect,return,90,1,89,1,0,12,1.86,0.202,sustainable,1780.0,178.0
cautious,return,90,1,62,28,18,9,0,0.258,returning,580.32,62.0
balanced,return,90,1,65,25,17,8,0.52,0.215,returning,1274.0,130.0
chaotic,return,90,1,43,47,24,5,1.8,0.202,returning,1336.44,129.0
high_skip,return,90,1,25,65,19,5,0,0.28,returning,236.0,25.0
returning,return,90,1,44,46,28,5,0.58,0.205,returning,848.32,88.0
overload,return,90,1,77,13,12,18,73.84,0.192,returning,3062.9,281.0
optimizer,return,90,1,85,5,5,11,12.83,0.192,sustainable,2590.8,255.0
low_energy,return,90,1,41,49,26,13,0,0.22,returning,375.56,41.0
adversarial,return,90,1,57,33,22,16,75.73,0.236,returning,2963.7,267.0
perfect,lost,180,1,180,0,0,25,4.06,0.211,integrated,3600.0,360.0
cautious,lost,180,1,100,80,46,13,0,0.25,returning,936.0,100.0
balanced,lost,180,1,152,28,27,22,2.61,0.188,sustainable,2979.2,304.0
chaotic,lost,180,1,89,91,46,11,7.61,0.199,sustainable,2766.12,267.0
high_skip,lost,180,1,50,130,37,6,0,0.26,returning,472.0,50.0
returning,lost,180,1,104,76,48,15,0.29,0.207,returning,2005.12,208.0
overload,lost,180,1,157,23,22,43,73.22,0.185,returning,6114.9,561.0
optimizer,lost,180,1,170,10,9,25,7.83,0.198,integrated,5181.6,510.0
low_energy,lost,180,1,84,96,50,26,0,0.286,returning,769.44,84.0
adversarial,lost,180,1,131,49,36,49,67.47,0.193,sustainable,6560.1,591.0
perfect,burnout,180,1,178,2,2,25,4.06,0.194,sustainable,3560.0,356.0
cautious,burnout,180,1,116,64,41,16,0,0.216,returning,1085.76,116.0
balanced,burnout,180,1,143,37,26,20,2.61,0.203,sustainable,2802.8,286.0
chaotic,burnout,180,1,83,97,46,15,0,0.205,sustainable,2579.64,249.0
high_skip,burnout,180,1,42,138,33,8,0,0.238,returning,396.48,42.0
returning,burnout,180,1,110,70,40,20,0,0.2,returning,2120.8,220.0
overload,burnout,180,1,147,33,29,38,74.05,0.181,returning,5711.6,524.0
optimizer,burnout,180,1,167,13,12,25,7.83,0.198,integrated,5090.16,501.0
low_energy,burnout,180,1,92,88,38,29,0,0.207,returning,842.72,92.0
adversarial,burnout,180,1,139,41,30,55,71.8,0.192,returning,6981.9,629.0
perfect,potential,180,1,178,2,2,25,4.06,0.197,integrated,3560.0,356.0
cautious,potential,180,1,117,63,42,15,0,0.239,returning,1095.12,117.0
balanced,potential,180,1,138,42,33,24,2.61,0.21,sustainable,2704.8,276.0
chaotic,potential,180,1,78,102,49,10,0,0.201,sustainable,2424.24,234.0
high_skip,potential,180,1,50,130,40,7,0,0.22,returning,472.0,50.0
returning,potential,180,1,92,88,47,9,0.29,0.201,sustainable,1773.76,184.0
overload,potential,180,1,154,26,22,41,74.86,0.19,returning,5973.2,548.0
optimizer,potential,180,1,161,19,16,20,7.83,0.195,integrated,4907.28,483.0
low_energy,potential,180,1,83,97,47,29,0,0.217,returning,760.28,83.0
adversarial,potential,180,1,116,64,43,39,68.65,0.182,sustainable,5860.8,528.0
perfect,return,180,1,177,3,2,24,4.06,0.178,integrated,3540.0,354.0
cautious,return,180,1,93,87,46,10,0,0.215,returning,870.48,93.0
balanced,return,180,1,132,48,35,18,0.52,0.186,sustainable,2587.2,264.0
chaotic,return,180,1,101,79,42,17,1.8,0.205,integrated,3139.08,303.0
high_skip,return,180,1,48,132,35,7,0,0.208,returning,453.12,48.0
returning,return,180,1,107,73,40,12,1.45,0.201,sustainable,2062.96,214.0
overload,return,180,1,160,20,18,44,73.05,0.179,returning,6158.5,565.0
optimizer,return,180,1,166,14,14,25,4.7,0.197,integrated,5059.68,498.0
low_energy,return,180,1,88,92,38,35,0,0.216,returning,806.08,88.0
adversarial,return,180,1,125,55,38,44,75.57,0.194,returning,6249.3,563.0
perfect,lost,30,2,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,lost,30,2,22,8,5,2,0,0.273,returning,205.92,22.0
balanced,lost,30,2,27,3,2,4,0,0.241,open,529.2,54.0
chaotic,lost,30,2,11,19,5,2,0,0.212,returning,341.88,33.0
high_skip,lost,30,2,9,21,6,0,0,0.333,returning,84.96,9.0
returning,lost,30,2,18,12,8,2,0,0.278,returning,347.04,36.0
overload,lost,30,2,28,2,2,4,72.09,0.216,overloaded,1209.9,111.0
optimizer,lost,30,2,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,lost,30,2,12,18,8,3,0,0.333,returning,109.92,12.0
adversarial,lost,30,2,23,7,6,5,68.6,0.239,returning,1254.3,113.0
perfect,burnout,30,2,30,0,0,4,1.62,0.317,open,600.0,60.0
cautious,burnout,30,2,17,13,7,2,0,0.412,returning,159.12,17.0
balanced,burnout,30,2,23,7,7,3,1.04,0.304,returning,450.8,46.0
chaotic,burnout,30,2,13,17,9,2,2.0,0.205,returning,404.04,39.0
high_skip,burnout,30,2,10,20,7,0,0,0.3,returning,94.4,10.0
